Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,file,letter,listeners,lr,manual,max_epoch,max_time,model,momentum,params,source_flag,target_flag,wd,workload,workload_listener,DCGMI - DRAM Active,DCGMI - FP16 Active,DCGMI - FP32 Active,DCGMI - FP64 Active,DCGMI - GPU Utilization,DCGMI - GR Engine Active,DCGMI - Memory Copy Utilization,DCGMI - NVlink RX Bytes,DCGMI - NVlink TX Bytes,DCGMI - PCIE RX Bytes,DCGMI - PCIE RX Throughput,DCGMI - PCIE TX Bytes,DCGMI - PCIE TX Throughput,DCGMI - Power Usage,DCGMI - SM Occupancy,DCGMI - SN Active,DCGMI - Tensor Active,DCGMI - Total Energy Consumption,SMI - GPU Util,SMI - Mem Used,SMI - Mem Util,SMI - Performance State,SMI - Power Draw,SMI - Timestamp,TOP - CPU Utilization,TOP - Memory Utilization,TOP - Swap Memory GB,stopped_at,test_acc,test_auc,test_loss,val_acc,val_auc,val_loss
2024-08-29 01:48:58,26.2min,d3988e05722745deaa8fbf051330172c,(0 0) adorable-skink-107,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,0.001,0,'',0.16,0,0.1,0,2,0.61,1,0,0,103854122,0,17306564,0,45.386,0.343,0.849,0,1362724261007,0.99,8802,0.43,0,161.64,1724890510.957,101,0,52.88,199,0.3221448467966574,0.7722538099924843,1.823743750309122,0.36444444444444446,0.7942751178518295,1.7760491371154785
2024-08-29 01:26:57,21.9min,d724fdcf748348e98dc1c521c65a7641,(0 0) clean-goose-963,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,0.001,0,'',0.03,0,0.152,0,0,0.112,0,0,0,23521985,0,3720485,0,44.99,0.266,0.727,0,1362574314213,0.87,4968,0.34,0,107.34,1724888932.39,103,0,52.88,199,0.4020891364902507,0.8138194213019455,1.6667827472352146,0.4177777777777778,0.8266909985962562,1.641824722290039
2024-08-29 01:00:38,26.2min,a672daf6cff843a9a399e96b426baeab,(0 0) crawling-shrimp-935,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,0.0,0,'',0.163,0,0.241,0,22,0.595,12,0,0,103649448,0,17589257,0,43.456,0.314,0.838,0,1362413481262,0.82,8800,0.25,0,157.55,1724887610.431,103,0,52.88,199,0.32409470752089137,0.7731316268723153,1.8201871781513608,0.3688888888888889,0.7949815472969256,1.773849368095398
2024-08-29 00:38:38,21.9min,9618c7c0c5cf4032a0d9e48bacd16dee,(0 0) youthful-sheep-226,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,0.0,0,'',0.035,0,0,0,0,0.131,0,0,0,33218855,0,5076705,0,44.893,0.283,0.796,0,1362263695512,0.87,4964,0.36,0,147.79,1724886032.159,102,0,52.88,199,0.40181058495821725,0.8143175844707125,1.6652185477708514,0.4177777777777778,0.8268410461670341,1.640942096710205
2024-08-29 00:12:35,26.0min,370d5b4408f845ecbde7bc3099169ef7,(0 0) resilient-mole-196,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,0.0,0,'',0.19,0,0.278,0,100,0.692,32,0,0,110546888,0,18967534,0,45.339,0.302,0.826,0,1362104092959,0.76,8802,0.25,0,171.3,1724884711.916,103,0,52.88,199,0.5697771587743733,0.8850926658720978,1.250827328912143,0.5466666666666666,0.8897477739117736,1.2742259502410889
2024-08-28 23:50:37,21.9min,f9d8334efcca4315b06a65d9cac8ba54,(0 0) intrigued-mare-69,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,0.0,0,'',0.126,0,0.159,0,0,0.489,0,0,0,83810838,0,14046513,0,45.281,0.249,0.676,0,1361954843819,0.88,4968,0.33,0,165.6,1724883149.689,101,0,52.88,199,0.6128133704735376,0.8868510071264163,1.153328343441612,0.5866666666666667,0.9186690161303771,1.1365925073623657
2024-08-28 23:24:20,26.2min,1dcbc19cd989470d8afa3d8d15c03a19,(0 0) whimsical-sheep-540,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,1e-06,0,'',0.243,0,0.411,0,84,0.947,32,0,0,130117806,0,23530532,0,45.281,0.273,0.664,0,1361794781331,0.8,8800,0.35,0,165.9,1724881831.015,103,0,52.88,199,0.32409470752089137,0.773131578885042,1.820187285028655,0.3688888888888889,0.7949815472969256,1.773849606513977
2024-08-28 23:02:17,22.0min,a8949ba4878941089b838e538f4d1f68,(0 0) resilient-bear-346,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,1e-06,0,'',0.031,0,0.165,0,0,0.122,0,0,0,23727636,0,3878929,0,44.893,0.277,0.771,0,1361645163384,0.87,4964,0.33,0,47.9,1724880255.082,103,0,52.88,199,0.40181058495821725,0.8143177019401309,1.6652188907589829,0.4177777777777778,0.8268410461670341,1.6409422159194946
2024-08-28 22:36:16,25.9min,8472e96311334b3e9c67a380a7085987,(0 0) gentle-stoat-405,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,1e-06,0,'',0.202,0,0.294,0,39,0.74,19,0,0,113859411,0,19702508,0,45.573,0.291,0.818,0,1361485204598,0.99,8802,0.39,0,71.11,1724878931.243,102,0,52.88,199,0.5697771587743733,0.8850925270855345,1.2508299104098617,0.5466666666666666,0.8897477739117736,1.2742254734039307
2024-08-28 22:14:20,21.9min,419d3b66b2f1447593d393687001f07c,(0 0) respected-shrike-992,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,1e-06,0,'',0.05,0,0.202,0,0,0.186,0,0,0,30291137,0,5239042,0,44.885,0.21,0.748,0,1361336039011,0.52,4968,0.18,0,45.38,1724877370.683,101,0,52.88,199,0.6126740947075209,0.8868243575954075,1.1535701375258596,0.5866666666666667,0.9186229501639132,1.1366138458251953
